flowKey,minFiat,meanFiat,maxFiat,stdFiat,minBiat,meanBiat,maxBiat,stdBiat,minFpkt,meanFpkt,maxFpkt,stdFpkt,minBpkt,meanBpkt,maxBpkt,stdBpkt,protocol,duration,hasRTCP,fPackets,fBytes,bPackets,bBytes,label
"TCP: 114.222.112.94:80,172.16.105.71:65027",157,25719.5,51282,25562.5,24280,24280,24280,0,0,95.33333333333333,286,134.82169294623506,0,0,0,0,6,75450,0,3,286,2,0,No Label
"TCP: 172.16.105.71:65082,175.27.0.70:8081",360067,360067,360067,0,3003,81074,159145,78071,0,693.5,1387,693.5,0,74,222,104.65180361560904,6,522075,0,2,1387,3,222,No Label
"TCP: 172.16.105.71:65103,175.27.0.70:8081",20,15216.666666666666,45564,21458.813408222013,0,0,0,0,0,326.75,1307,565.9476013731306,0,0,0,0,6,45650,0,4,1307,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:64565",16,19908.666666666668,59623,28082.289369319984,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,59726,0,4,1424,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:65209",66,40131,120213,56626.52864161814,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,120393,0,4,1424,1,0,No Label
"TCP: 172.16.105.71:56351,175.6.88.24:9906",5791,11189.5,16588,5398.5,21108,21108,21108,0,0,95.33333333333333,286,134.82169294623506,0,0,0,0,6,37620,0,3,286,2,0,No Label
"TCP: 109.244.249.25:8011,172.16.105.71:65055",22,68762.33333333333,205829,96920.91684231818,0,0,0,0,0,78,312,135.09996299037243,0,0,0,0,6,206287,0,4,312,1,0,No Label
"TCP: 183.2.143.214:8081,192.168.190.253:55481",43,55067,110091,55024,142099,142099,142099,0,0,329,987,465.2762620207483,0,0,0,0,6,252039,0,3,987,2,0,No Label
"TCP: 172.16.105.71:64422,175.27.12.61:8081",107,37642.333333333336,74321,30303.79357256924,0,0,0,0,0,218.75,875,378.8861141556919,0,0,0,0,6,112927,0,4,875,1,0,No Label
"TCP: 172.16.105.71:57170,175.27.0.70:8081",19,57308.666666666664,171830,80978.81485233585,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,171926,0,4,1424,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.63:61198",16,81036,242886,114445.25882126646,0,0,0,0,0,242.5,970,420.0223208354527,0,0,0,0,6,243108,0,4,970,1,0,No Label
"TCP: 121.51.191.86:443,172.16.105.71:64677",200,30263.5,60327,30063.5,34807,34807,34807,0,0,172.33333333333334,517,243.71613724896335,0,0,0,0,6,94926,0,3,517,2,0,No Label
"TCP: 172.16.105.71:64518,175.27.12.224:8081",21,11921,35658,16784.613370584382,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,35763,0,4,1424,1,0,No Label
"TCP: 172.16.105.71:56411,175.27.0.70:8081",22,12987.666666666666,38788,18243.669044965223,0,0,0,0,0,254.75,1019,441.2399432281715,0,0,0,0,6,38963,0,4,1019,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:64573",13,39058.333333333336,117082,55171.07057346469,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,117175,0,4,1424,1,0,No Label
"TCP: 121.51.130.246:443,172.16.105.71:56321",68,7945.666666666667,23178,10773.00225357609,0,0,0,0,0,83.5,334,144.62624243200125,0,0,0,0,6,23837,0,4,334,1,0,No Label
"TCP: 172.16.105.71:64440,175.6.88.19:9906",186,12874,25562,12688,183227,183227,183227,0,0,95.33333333333333,286,134.82169294623506,0,0,0,0,6,208605,0,3,286,2,0,No Label
"TCP: 172.16.105.71:64527,175.27.12.224:8081",16,20071.333333333332,60108,28310.214615144756,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,60214,0,4,1424,1,0,No Label
"TCP: 121.51.191.86:443,172.16.105.71:65075",24,11314.666666666666,33604,15761.389560850557,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,33944,0,4,517,1,0,No Label
"TCP: 114.222.112.94:80,172.16.105.71:57643",571,22139.5,43708,21568.5,78236,78236,78236,0,0,0,0,0,0,0,0,0,6,121872,0,3,0,2,0,No Label
"TCP: 119.147.190.177:8080,172.16.105.71:57075",8912,21925,34938,13013,26498,26498,26498,0,0,0,0,0,0,0,0,0,6,61368,0,3,0,2,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:65211",23,16964,50790,23918.604906362467,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,50892,0,4,1424,1,0,No Label
"TCP: 106.55.127.220:443,192.168.190.253:55395",19,17977,53626,25207.885313925086,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,53931,0,4,517,1,0,No Label
"TCP: 183.2.143.214:8081,192.168.190.253:55790",24,30116,90137,42441.30828175148,0,0,0,0,0,302.75,1211,524.3783819914776,0,0,0,0,6,90348,0,4,1211,1,0,No Label
"TCP: 14.22.7.252:8081,192.168.190.253:55428",48,16100.666666666666,48128,22646.766970634515,0,0,0,0,0,340,1360,588.8972745734183,0,0,0,0,6,48302,0,4,1360,1,0,No Label
"TCP: 114.222.112.94:80,172.16.105.71:56348",1398,15175.666666666666,24844,10003.12265689514,0,0,0,0,0,71.5,286,123.84163274117472,0,0,0,0,6,45527,0,4,286,1,0,No Label
"TCP: 109.244.248.35:443,172.16.105.71:64631",83,90867.33333333333,272177,128205.33839725849,0,0,0,0,0,79,316,136.8320137979413,0,0,0,0,6,272602,0,4,316,1,0,No Label
"TCP: 172.16.105.71:65099,175.27.0.70:8081",69,15538.666666666666,46464,21867.51365737668,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,46616,0,4,1424,1,0,No Label
"TCP: 172.16.105.71:57845,180.102.59.24:443",55,5955.333333333333,17698,8303.352990743491,0,0,0,0,0,78.25,313,135.53297569226464,0,0,0,0,6,17866,0,4,313,1,0,No Label
"TCP: 172.16.105.71:56412,175.27.0.70:8081",26,18589.666666666668,55647,26203.507275850603,0,0,0,0,0,246.75,987,427.38353676762046,0,0,0,0,6,55769,0,4,987,1,0,No Label
"TCP: 172.16.105.71:65077,175.27.0.70:8081",13,14168.333333333334,42415,19973.426635296095,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,42505,0,4,1424,1,0,No Label
"TCP: 183.2.143.214:8081,192.168.190.253:55567",13,29393.333333333332,88097,41509.76730307646,0,0,0,0,0,302.75,1211,524.3783819914776,0,0,0,0,6,88180,0,4,1211,1,0,No Label
"TCP: 172.16.105.71:56383,175.27.0.70:8081",106,18340,36574,18234,39452,39452,39452,0,0,462.3333333333333,1387,653.838070337161,0,0,0,0,6,75948,0,3,1387,2,0,No Label
